rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness
1,3mCCFs2hdDM2mObzARzxOg,"STILLA, Ness",תיק קטן,2023 Va’ad Ha Bait records By PIL LTD,1,1,6,294961,08/06/2023,0.878,0.553,0.354,138.012,-8.424,0.53,0.0002,0.374,0.14
2,6dUregFbvUNqHP5nphqesK,"Noa Kirel, כאן - תאגיד השידור הישראלי",Unicorn,KAN Israeli Public Broadcasting Corporation under exclusive license to D-Music,1,2,14,247237,08/06/2023,0.681,0.868,0.282,130.126,-5.499,0.0216,0.0002,0.095,0.323
3,1DmW5Ep6ywYwxc2HMT5BG6,Loreen,Tattoo,Universal Music AB,2,3,7,219846,08/06/2023,0.545,0.779,0.303,150.002,-6.235,0.243,0,0.0751,0.123
4,3Au0H4VhjcXZ5HGOHo8Nc3,Static,רונדלים,Mobile1 Music,4,6,16,219449,08/06/2023,0.857,0.621,0.615,108.966,-6.86,0.117,0,0.203,0.0975
5,0QDGzInNYjTlYI28Xq7slK,"Doli & Penn, Eden Hason",לאהוב אותך כל יום,Dolev Ram / Penn Hazut / Sarit Productions under exclusive license to D-Music,5,17,3,191500,08/06/2023,0.607,0.468,0.516,74.996,-8.711,0.164,0,0.039,0.122
6,5RX8T3EoTuXcybAxe6oPAw,Käärijä,Cha Cha Cha,WM Finland,3,4,5,176655,08/06/2023,0.718,0.791,0.743,155.082,-5.572,0.0021,0.0029,0.0447,0.111
7,4RyMByXc5HfKc3b8wqwOso,Peer Tasi,אהבה חולה,Peer Tasi LTD under exclusive license to D-Music,1,7,27,171252,08/06/2023,0.616,0.4,0.335,140.27,-11.169,0.193,0.0009,0.0327,0.102
8,1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,8,77,160368,08/06/2023,0.648,0.776,0.625,92.033,-7.552,0.0096,0,0.0401,0.145
9,60BOR51eeN8A3wYIrElggH,"Osher Cohen, Odeya",אני פה,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,2,9,17,157621,08/06/2023,0.732,0.54,0.349,106.998,-8.727,0.511,0,0.0986,0.431
10,14LdhxElpZS0rKVV4nxtdA,Alessandra,Queen of Kings,Universal Music AS,5,5,5,152033,08/06/2023,0.563,0.908,0.171,125.972,-4.25,0.0696,0,0.0868,0.328
11,7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,1,11,51,151824,08/06/2023,0.33,0.768,0.361,156.52,-6.433,0.75,0,0.129,0.963
12,1Rh5r9vUOumJ1sbPuv3dkO,Eden Hason,עד שתבואי עד אליי,Mobile1 Music,5,10,28,147202,08/06/2023,0.69,0.704,0.537,124.021,-6.265,0.191,0,0.0428,0.101
13,3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,B.B Productions Ltd. under exclusive license to D-Music,1,13,47,135701,08/06/2023,0.714,0.487,0.528,100.009,-7.396,0.562,0,0.0257,0.0895
14,4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Flowers,Columbia,1,12,21,129703,08/06/2023,0.707,0.681,0.646,117.999,-4.325,0.0632,0,0.0668,0.0322
15,1huEeoVeYDxX6XEF640FfM,Omer Adam,DXB to TLV,P.A.I LTD,15,-1,1,126917,08/06/2023,0.706,0.888,0.477,123.056,-7.226,0.106,0.0006,0.0795,0.0982
16,3idINUuyRidKbQiMFt6EkU,"Gal Adam, NOROZ",משוגעת,P.A.I LTD / NOROZ under exclusive license to D-Music,4,15,33,126831,08/06/2023,0.761,0.787,0.542,140.093,-6.503,0.134,0.0015,0.249,0.161
17,6W6ssWo1mqA9bLTo47Alsz,"Jasmin Moallem, Mergui",צונאמי,Helicon Music,17,-1,1,126524,08/06/2023,0.881,0.514,0.621,109.012,-6.671,0.284,0,0.0711,0.117
18,6OXv4CrNp3DFRj6Cu1GojJ,Eyal Golan,מתי את חוזרת,Liam Productions under exclusive license to D-Music,6,25,11,123452,08/06/2023,0.58,0.47,0.381,136.032,-8.913,0.479,0,0.0331,0.0782
19,1zZ9bah4HU0TtICQzCFXp3,"Avi Aburomi, Mor",אין אותנו יותר (By Tamar Yahalomy & Yonatan Kalimi),2023 Avi Aburomi By PIL LTD,2,14,19,118200,08/06/2023,0.522,0.428,0.368,154.088,-7.764,0.797,0,0.0358,0.11
20,4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,19,55,115173,08/06/2023,0.552,0.433,0.334,89.329,-9.792,0.777,0,0.068,0.139
21,16NPQQxjcSfhb0UFaUVw5s,Eden Hason,אז מה עכשיו,Mobile1 Music,9,16,12,114454,08/06/2023,0.469,0.469,0.405,135.981,-9.823,0.437,0,0.114,0.573
22,6NUzJGlQORUv6NjUwcefr8,Eyal Golan,עיר נמל,Liam Productions under exclusive license to D-Music,22,38,11,113979,08/06/2023,0.723,0.741,0.556,100.012,-6.608,0.0594,0,0.0332,0.0963
23,5I0WaR0LpN4Kn1zwbvd145,"E-Z, Noa Kirel",גושפנקא,Unicell,15,24,25,112434,08/06/2023,0.831,0.786,0.664,91.996,-6.654,0.488,0.0001,0.198,0.133
24,4PcdcSDUImHuVjoCezSYuC,"LIAD MEIR, רון חיון",פלואו של טמבל 2,2023 Duda By PIL LTD,16,20,9,111612,08/06/2023,0.75,0.658,0.757,155.118,-7.202,0.23,0,0.298,0.0435
25,2PpTUW96jjJYr8ib8RUnUu,Tuna,י'א 2,Anana Ltd.,21,21,144,106661,08/06/2023,0.69,0.689,0.584,95.019,-7.37,0.781,0,0.0719,0.084
26,5A3bEckI7AjWTguGqZOzUm,Noa Kirel,פנתרה,Noa Kirel under exclusive license to NMC United Entertainment Ltd.,1,27,43,105142,08/06/2023,0.832,0.647,0.488,102.036,-7.954,0.0588,0.0014,0.0755,0.411
27,06RR5ewHedBUC9GRgWLwkK,Ravid Plotnik,מוזיקה טובה,NaNa Disc,25,26,29,104355,08/06/2023,0.647,0.559,0.651,85.409,-6.751,0.128,0,0.181,0.167
28,2b9TjqgLxE6zOZc4DSmYYx,"Noa Kirel, Forever Tel Aviv, Sagi Kariv",פרובוקטיבית,Noa Kirel / Forever Tel Aviv under exclusive license to D-Music,28,-1,1,102535,08/06/2023,0.825,0.683,0.648,127.961,-6.864,0.126,0,0.0479,0.0662
29,4tpT9xacu03ADQI7utG24C,"Anna Zak, Itay Galo",אולסטאר וגופיות,ITModels / Itay Galo under exclusive license to D-Music,29,-1,1,101406,08/06/2023,0.877,0.356,0.492,126.04,-8.89,0.202,0,0.0543,0.103
30,2G1o9Mq8KpamOwJPZLuJc7,"Full Trunk, Jimbo J",סתלבט בקיבוץ,NaNa Disc,2,43,57,101290,08/06/2023,0.671,0.724,0.941,167.998,-8.799,0.588,0,0.0879,0.47
31,2QUuLcqNlQUFOuMm4osKdN,Peer Tasi,38,Peer Tasi LTD under exclusive license to D-Music,8,23,27,101262,08/06/2023,0.477,0.308,0.124,125.124,-10.401,0.437,0,0.0361,0.126
32,4f15d7Qc81qw4LKMAQhfYz,Omer Adam,יצאה שבת,P.A.I LTD,32,-1,1,100179,08/06/2023,0.575,0.487,0.553,77.591,-11.275,0.731,0,0.1,0.0974
33,4py8ddBPFRTYqL3vbh2FXq,"Static, Agam Buhbut",טרנטולה,Mobile1 Music,23,42,15,99832,08/06/2023,0.8,0.668,0.814,140.032,-5.439,0.196,0.0003,0.0758,0.157
34,5gOFp28Edmv4nk8HIwnQfe,Yonatan Kalimi,מי את היום בלעדיי,T.Y Studio & Productions under exclusive license to D-Music,6,18,16,99086,08/06/2023,0.46,0.417,0.286,184.158,-9.757,0.733,0,0.0563,0.12
35,5qbezFG8xCtoyUfOcjHUXv,Omer Adam,אני,P.A.I LTD,1,35,25,98464,08/06/2023,0.733,0.481,0.237,111.778,-9.625,0.376,0,0.0947,0.088
36,1odExI7RdWc4BT515LTAwj,David Kushner,Daylight,Miserable Music Group,18,30,8,97264,08/06/2023,0.508,0.43,0.324,130.09,-9.475,0.83,0.0004,0.0335,0.093
37,4mRreSUqP7waa2jT5ul41T,Ravid Plotnik,יום חדש,NaNa Disc,37,41,73,96505,08/06/2023,0.633,0.59,0.32,85.015,-5.626,0.0363,0,0.304,0.16
38,6Eds9y8ZiQHcIegsEIVcYP,"Avraham Tal, Eden Hason",את חסרה לי & אורות,Mobile1 Music,11,31,35,96202,08/06/2023,0.292,0.518,0.376,205.16,-6.974,0.372,0,0.0775,0.537
39,6nSQvSGrFykSmDIOetK94r,Jasmin Moallem,יהיה טוב,Helicon Music,39,-1,1,95927,08/06/2023,0.604,0.423,0.303,104.238,-11.237,0.725,0.0006,0.202,0.108
40,60GvepzSwgGx8kaZNln4L0,Ravid Plotnik,כל הזמן הזה,NaNa Disc,28,28,273,95557,08/06/2023,0.582,0.465,0.33,147.959,-11.032,0.0591,0,0.0555,0.267
41,5edYMsNo852Zw29Qni9p8t,Noam Bettan,בובה,Zaav Music / Noam Bettan under exclusive license to D-Music,15,34,22,94535,08/06/2023,0.801,0.684,0.68,102.987,-4.262,0.0304,0,0.0409,0.0516
42,4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,5,33,41,94198,08/06/2023,0.561,0.965,0.304,128.04,-3.673,0.0038,0,0.0343,0.371
43,7Jeh9SPQdyULPmdIqTNo3y,"Tuna, Margalit Tzan'ani",כנפיים - Live,NaNa Disc,25,37,20,93355,08/06/2023,0.42,0.598,0.346,172.909,-10.621,0.388,0,0.329,0.122
44,7wL2FfAPuP90EqSBALn7qM,"Omer Adam, E-Z",התעוררתי עם נמר,P.A.I LTD,44,-1,1,93037,08/06/2023,0.829,0.659,0.439,99.976,-7.904,0.324,0,0.128,0.172
45,5CCxCzPB3HMh595Y1MNIm5,Tuna,סחרחורת,Anana Ltd.,32,32,96,91482,08/06/2023,0.602,0.755,0.449,92.88,-4.901,0.0905,0,0.0873,0.68
46,3RlUyFCBbqM62dOs0sNWlH,Hanan Ben Ari,עטלף עיוור,Hanan Ben Ari under exclusive license to D-Music,15,22,4,90914,08/06/2023,0.375,0.396,0.171,135.056,-7.699,0.223,0,0.0305,0.111
47,4JmmjsGmOED0sn0Le3r84u,"Tuna, Ravid Plotnik",עולם משוגע,Anana,29,29,264,90038,08/06/2023,0.569,0.633,0.568,149.904,-8.26,0.363,0.0016,0.0965,0.123
48,6uCZdJ3p3hrfi6mRKVtt7k,Osher Cohen,תראי אהובתי,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,24,40,17,87880,08/06/2023,0.38,0.636,0.424,86.835,-6.376,0.271,0,0.0504,0.186
49,68kVzJf0STAv91tuLutuDr,Eden Hason,שקיעות אדומות,Mobile1 Music,2,45,137,86892,08/06/2023,0.585,0.394,0.345,84.018,-9.016,0.676,0,0.0321,0.119
50,50uspwzqbMxkpyHzMLwUVy,Static,לירז,Mobile1 Music,4,53,16,86199,08/06/2023,0.682,0.764,0.729,165.063,-6.077,0.0304,0,0.299,0.24
51,4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,44,62,86192,08/06/2023,0.52,0.731,0.662,173.93,-5.338,0.342,0.001,0.0557,0.311
52,725hyNaW6DtJIrUtkk5K8o,אליאן כהן,בעולם הזה,2023 S.B.E Music By PIL LTD,47,47,6,82454,08/06/2023,0.708,0.37,0.219,130.023,-11.058,0.813,0,0.0538,0.145
53,1FyfEuRtAFpuItWcuouxkV,Akiva,צעדים,2023 Akiva Turgeman + Or Davidson By PIL LTD,18,50,10,82435,08/06/2023,0.648,0.509,0.329,102.012,-9.559,0.278,0,0.0254,0.155
54,1saT4tObMScARIwT4wTv0W,Ravid Plotnik,נתראה בגלגול הבא,NaNa Disc,26,39,178,81176,08/06/2023,0.511,0.396,0.197,111.506,-13.945,0.184,0.51,0.0389,0.68
55,1lHlKCdVZ4CGbbkTuG6LfT,Jasmin Moallem,יחפים,Helicon Music,15,52,79,80078,08/06/2023,0.343,0.331,0.154,173.65,-11.067,0.857,0,0.0421,0.0896
56,67PF7VLcYEKKF82ziNf9Ur,"Shahar Saul, Agam Buhbut, NOROZ",דובשנייה,Mobile1 Music,2,55,72,78291,08/06/2023,0.77,0.894,0.671,104.993,-4.653,0.318,0.0024,0.218,0.3
57,2LjK33xiNA8BA4U1ndj2bO,Jasmin Moallem,לבד במדבר,Helicon Music,57,-1,1,77938,08/06/2023,0.699,0.434,0.433,92.02,-7.836,0.495,0,0.0501,0.232
58,6kVmhOoBlMEH3WdxrLhjFB,"Static, Eden Ben Zaken",הפשע המושלם,Mobile1 Music,25,63,16,77167,08/06/2023,0.804,0.706,0.906,99.018,-5.034,0.0369,0,0.0961,0.291
59,1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,6,48,26,77129,08/06/2023,0.644,0.735,0.418,88.98,-5.747,0.0521,0.144,0.0391,0.161
60,6ubV4TOnHggG27ygsPxjvR,Osher Cohen,אקורדים בלילות,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,30,51,17,77040,08/06/2023,0.736,0.531,0.77,122.963,-7.799,0.496,0,0.0437,0.543
61,5RnhWaP5VD3eJN3J0chPmh,"Tuna, Tzlil Danin",בסיבוב,Anana Ltd.,36,36,266,76502,08/06/2023,0.633,0.81,0.665,94.009,-6.819,0.0997,0,0.0486,0.12
62,5UTASY1feroQggKyga3HvI,"Ravid Plotnik, Tuna",בור ועם הארץ,NaNa Disc,46,46,4,75533,08/06/2023,0.584,0.826,0.63,72.959,-5.431,0.06,0,0.221,0.123
63,3RBpmZJ0YG9abVBXI2U1UO,Eden Hason,את חסרה לי,Mobile1 Music,1,71,154,70820,08/06/2023,0.651,0.645,0.307,129.931,-6.173,0.47,0,0.0624,0.2
64,3uidHx3If1PWAOCMcCdkNH,Tuna,סהרה,NaNa Disc,10,62,77,70590,08/06/2023,0.587,0.531,0.565,160.092,-7.844,0.39,0,0.0741,0.171
65,4fYte8ZvTK14NEhAOZocBi,OneRepublic,I Ain't Worried,Mosley Music/Interscope Records,14,57,50,70284,08/06/2023,0.697,0.802,0.822,139.951,-6.412,0.0988,0,0.0456,0.0614
66,2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,10,54,27,69371,08/06/2023,0.716,0.613,0.157,97.914,-6.018,0.391,0,0.0522,0.0813
67,6clAq1cGO4PYimAmzelTmL,Shira Margalit,אחותי כבר לא סובלת אותך,Anana Ltd,12,61,28,67731,08/06/2023,0.695,0.611,0.452,164.187,-3.976,0.166,0,0.223,0.138
68,2gpNRdJs3Sy5GI1G7pTgbZ,"Odeya, Noa Kirel",מאמי,Helicon Aroma Music Ltd.,5,58,25,67542,08/06/2023,0.872,0.83,0.776,113.969,-2.814,0.431,0,0.0672,0.247
69,7mBGGsJwx4o8NiqWfmAJ96,Ravid Plotnik,כפרה שלי,NaNa Disc,49,49,83,66966,08/06/2023,0.67,0.331,0.853,160.018,-13.178,0.73,0,0.195,0.104
70,2FDTHlrBguDzQkp7PVj16Q,"Dave, Central Cee",Sprinter,Neighbourhood / Live Yours,70,-1,1,66782,08/06/2023,0.918,0.681,0.706,139.057,-4.705,0.263,0,0.201,0.0615
71,0Ap742kKOE7chXEdDZWvOq,"Avraham Tal, Benaia Barabi",מי לא יבוא,Avraham Tal / Or Mermelstein under exclusive license to D-Music,39,79,110,66339,08/06/2023,0.77,0.416,0.573,102.088,-10.731,0.497,0,0.115,0.113
72,3Q6d64XJr20cHQtRd07YGj,"Omer Adam, David Broza",סיגליות,P.A.I LTD,72,-1,1,65925,08/06/2023,0.667,0.55,0.672,139.952,-7.795,0.766,0,0.0373,0.373
73,3yyHRwblo5kk0fH9pfMP6M,"Marina Maximilian, Guy Mentesh",ביחד,Marina Maximilian under exclusive license to D-Music,14,74,143,65270,08/06/2023,0.565,0.59,0.272,108.111,-5.73,0.402,0,0.0838,0.265
74,391yrqiYT61ICI46vuIU2M,Jasmin Moallem,אין עולם,Helicon Music,74,-1,1,64653,08/06/2023,0.459,0.579,0.456,90.527,-6.871,0.423,0.0006,0.144,0.209
75,4W1G1xlxcirdtXosgsR0m0,Agam Buhbut,קופידון (Prod. By Triangle),2022 Z.I. Productions BY PIL LTD,10,67,38,64300,08/06/2023,0.763,0.618,0.805,110.034,-5.919,0.166,0,0.072,0.149
76,7rNA5Jwu23g7PaXcMwfLdq,Eden Hason,מדליקה לי הכל,Mobile1 Music,7,68,84,63920,08/06/2023,0.681,0.691,0.787,127.002,-5.31,0.397,0,0.0604,0.107
77,4C7cg72gU51s1IT4wh7Vp9,Omer Adam,קומה 58,P.A.I LTD,77,-1,1,63767,08/06/2023,0.468,0.377,0.247,120.617,-9.086,0.686,0.0003,0.0345,0.131
78,7vlw3ezpsoXCBONhNXLOcV,Tuna,גם זה יעבור,Anana,56,56,234,63572,08/06/2023,0.56,0.62,0.411,156.178,-7.778,0.36,0.0001,0.089,0.1
79,5e4PVtYVBu9BpJVhmQhIvS,Hanan Ben Ari,שמש,Hanan Ben Ari / Mor Dahan under exclusive license to D-Music,26,80,196,63382,08/06/2023,0.485,0.42,0.113,124.444,-8.801,0.575,0,0.036,0.0907
80,0PfvEnfj3hHl7zlc0WcfGY,Ravid Plotnik,‏שלווה בארמונותייך,NaNa Disc,25,60,59,63342,08/06/2023,0.335,0.331,0.187,136.164,-10.124,0.563,0,0.0349,0.161
81,1vYXt7VSjH9JIM5oRRo7vA,Dua Lipa,Dance The Night - From Barbie The Album,Atlantic Records,81,184,2,63094,08/06/2023,0.671,0.845,0.775,110.056,-4.93,0.0207,0,0.048,0.329
82,05KQMm1vL6MnJkgobUtwft,Omer Adam,לבד על המיטה,P.A.I LTD,2,92,70,62209,08/06/2023,0.637,0.53,0.408,140.204,-5.661,0.679,0,0.0336,0.0997
83,57FY5ru0LtrA0ENkg8NLHB,Jasmin Moallem,בלנסיאגה לבן,Helicon Music,83,-1,1,61209,08/06/2023,0.54,0.616,0.707,109.518,-9.085,0.112,0.0011,0.115,0.0717
84,5k8DBFI8gb6bKhCOmyM6fF,Omer Adam,מדבר של שקט,P.A.I LTD,84,-1,1,60799,08/06/2023,0.815,0.447,0.346,98.003,-7.638,0.188,0,0.0376,0.0583
85,7FbrGaHYVDmfr7KoLIZnQ7,FIFTY FIFTY,Cupid - Twin Version,SME Korea Inc.,53,69,9,60779,08/06/2023,0.783,0.592,0.726,120.018,-8.332,0.435,0,0.0331,0.347
86,3Y4G4E7EVomTWTFSFS0Sn5,Hanan Ben Ari,אלוף העולם,Hanan Ben Ari / Mor Dahan under exclusive license to D-Music,2,90,224,60591,08/06/2023,0.582,0.433,0.22,127.511,-8.309,0.747,0,0.0501,0.133
87,3oKNqxtmdKOmHzIga9300l,Omer Adam,טאפס וטריפונס,P.A.I LTD,87,-1,1,60587,08/06/2023,0.798,0.665,0.725,104.963,-5.275,0.199,0,0.0451,0.362
88,5tNrVA1ySsk7HkV5yg2iXN,"Marina Maximilian, Itay Galo",עולה על שולחנות,Marina Maximilian / Itay Galo under exclusive license to D-Music,17,70,47,60276,08/06/2023,0.825,0.783,0.652,125.014,-6.674,0.123,0.0012,0.0452,0.117
89,7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,21,76,82,59948,08/06/2023,0.442,0.538,0.139,122.758,-8.55,0.717,0,0.0451,0.09
90,4D5BAc9GN5Q8r5LVO7mxBI,Eden Hason,שוב,Mobile1 Music,31,179,15,59445,08/06/2023,0.559,0.495,0.321,94.948,-8.442,0.84,0,0.038,0.203
91,1vTVrYErMEixGuPZFZGg6C,Tuna,רוק 30,Anana,59,59,57,59209,08/06/2023,0.515,0.841,0.608,86.85,-7.014,0.167,0,0.192,0.0768
92,5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,41,78,48,58978,08/06/2023,0.464,0.417,0.479,67.528,-9.345,0.136,0.022,0.0256,0.0974
93,1s7oOCT8vauUh01PbJD6ps,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,29,75,39,58973,08/06/2023,0.801,0.806,0.802,106.999,-5.206,0.382,0.0007,0.0381,0.114
94,57BFhpG4Iq4Zgnoz2X6zbT,"Osher Cohen, Nadav Navi Aharoni",חמישי שישי,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,17,81,57,58960,08/06/2023,0.754,0.661,0.198,121.981,-7.454,0.125,0.0071,0.0388,0.109
95,7j4OmvkjRz0PrjFADlHfQx,Adele,Set Fire to the Rain,XL Recordings,70,86,25,58589,08/06/2023,0.603,0.67,0.446,107.993,-3.882,0.0041,0,0.0249,0.112
96,7snQQk1zcKl8gZ92AnueZW,Guns N' Roses,Sweet Child O' Mine,Guns N Roses P&D,96,-1,4,58186,08/06/2023,0.445,0.952,0.624,125.304,-5.321,0.09,0.0843,0.0522,0.112
97,3hay408PSjTAxPn5TPxzyh,Idan Amedi,חלק מהזמן,A.M Music Productions LTD,27,103,271,57766,08/06/2023,0.568,0.455,0.642,68.463,-7.611,0.626,0,0.0309,0.129
98,52n4gF126eIllrGuc9Zus6,Ishay Ribo,לשוב הביתה,2018 ISHAY RIBO LTD BY PIL LTD,10,83,274,57689,08/06/2023,0.73,0.448,0.632,104.007,-9.074,0.51,0,0.0309,0.0926
99,4oI6mGaEBPrYDS4TP3rSvG,Odeya,פסיכולוגית,Helicon Aroma Music Ltd.,13,72,11,57637,08/06/2023,0.516,0.627,0.385,89.362,-7.261,0.338,0,0.227,0.0504
100,04qYVjQ9bRRpJzz5sm7cEk,Hanan Ben Ari,אם תרצי,Hanan Ben Ari / Mor Dahan under exclusive license to D-Music,5,112,171,57317,08/06/2023,0.669,0.593,0.774,131.043,-9.851,0.355,0,0.0361,0.343
101,0fuJQFuWgnPMBHiXzwtOuA,Jasmin Moallem,להציל אותי,Helicon Music,101,-1,1,56905,08/06/2023,0.618,0.457,0.595,94.449,-7.19,0.255,0.0001,0.0675,0.109
102,0WS3pHso7moPHG8W2pbqPB,"Ravid Plotnik, ניר דנן",קפה וסיגריה,NaNa Disc,87,88,34,56482,08/06/2023,0.634,0.699,0.313,82.036,-5.085,0.0694,0,0.0895,0.209
103,14E0fPijhRbA3mY0Tq96VP,Ravid Plotnik,שווארמה,NaNa Disc,23,66,31,56067,08/06/2023,0.344,0.422,0.522,73.021,-10.245,0.36,0,0.0495,0.456
104,0NZPBYD5qbEWRs3PrGiRkT,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,4,77,37,55756,08/06/2023,0.719,0.454,0.224,131.007,-7.384,0.0138,0,0.0707,0.318
105,0SmY5bTuls1ccput6QhHSA,Adir Getz,"אני אוהב, אני מכור, אני שרוף",Unicell,18,73,50,55705,08/06/2023,0.708,0.287,0.461,135.875,-10.791,0.875,0,0.0349,0.115
106,7N1WHwA0MrCVm6PwlwCOBr,Omer Adam,סוף העולם,P.A.I LTD,106,-1,1,55599,08/06/2023,0.815,0.755,0.776,135.959,-4.593,0.0722,0,0.0525,0.421
107,70iVedvO5lgBNna7SyGku9,Jasmin Moallem,יותר מהר,Helicon Music,107,-1,1,54800,08/06/2023,0.933,0.472,0.591,115.02,-7.323,0.0424,0.0031,0.0706,0.11
108,44pgKXuq0EdcCtBSwSGRl7,"Ravid Plotnik, Jimbo J",סמוראי,NaNa Disc,23,64,38,54644,08/06/2023,0.612,0.478,0.174,60.021,-10.728,0.0778,0,0.0763,0.889
109,1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,95,104,40,54566,08/06/2023,0.486,0.617,0.417,138.015,-7.115,0.0954,0,0.0287,0.109
110,561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Eminem Catalog PS,26,89,34,54383,08/06/2023,0.637,0.678,0.254,84.039,-3.798,0.209,0,0.266,0.156
111,59kcUaOLIHwwz3Mfgr4Cuw,"Eden Hason, Osher Cohen",איתך & תחזרי מהר - מנורה לייב,Mobile1 Music,98,98,6,54309,08/06/2023,0.509,0.674,0.492,77.933,-9.27,0.592,0,0.0657,0.753
112,6ujUJoQPc19ue9cMweq4Pc,Omer Adam,חייל מלבנון,P.A.I LTD,112,-1,1,54190,08/06/2023,0.597,0.352,0.216,137.664,-10.29,0.71,0,0.0317,0.0813
113,4b5dVRUzTCy0ngxobUX2DG,Peer Tasi,חורף בחלון,Peer Tasi LTD under exclusive license to D-Music,43,84,36,53549,08/06/2023,0.596,0.432,0.392,122,-7.36,0.537,0,0.0301,0.171
114,2J2Z1SkXYghSajLibnQHOa,Sia,Unstoppable,Monkey Puzzle Records/RCA Records,91,97,61,53504,08/06/2023,0.468,0.779,0.26,173.799,-4.839,0.112,0.0004,0.0779,0.101
115,6d8ZHsSyTg6ABLkWNCZdSy,Avi Aburomi,מה עובר לך בראש,2022 Avi Aburomi BY PIL LTD,18,91,42,53471,08/06/2023,0.657,0.522,0.787,128.129,-7.848,0.793,0,0.0527,0.117
116,4y4CClBoVYR9rXmeL5oK9c,"Ravid Plotnik, Avishai Cohen",לי ולה,NaNa Disc,99,99,10,52984,08/06/2023,0.543,0.746,0.65,84.994,-6.968,0.385,0,0.0535,0.173
117,5xP9lQYA8YQmQh6BOxcAnR,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),XO / Republic Records,117,-1,1,52632,08/06/2023,0.854,0.674,0.848,99.022,-6.23,0.0517,0.0001,0.184,0.509
118,7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,66,95,7,51813,08/06/2023,0.558,0.559,0.62,78.558,-9.222,0.371,0,0.0959,0.109
119,7deF5LnlabZ7YohrHriZfl,Gal Adam,מרוקו,P.A.I LTD,48,96,10,51511,08/06/2023,0.643,0.658,0.588,191.931,-9.127,0.506,0,0.129,0.0592
120,51uSHxonxi4BegDmnNJw7k,"Tuna, Ravid Plotnik, Liron Amram","עב""מ",NaNa Disc,8,65,16,51161,08/06/2023,0.651,0.677,0.475,67.04,-8.185,0.453,0,0.206,0.121
121,26ffnwQVV4votOweWSwpeN,Narkis,הולכת איתך,session42,2,117,99,51108,08/06/2023,0.696,0.797,0.454,107.925,-6.031,0.0251,0,0.0696,0.105
122,0qELRMjzrjVmGHKfJmrEFD,Omer Adam,קוסמופוליטן,P.A.I LTD,122,-1,1,50959,08/06/2023,0.739,0.416,0.441,94.869,-7.561,0.563,0,0.0708,0.0829
123,4abB8WdkswrxWxcV2e56x9,Eden Hason,גדל לי קצת זקן,Mobile1 Music,2,132,118,50814,08/06/2023,0.671,0.472,0.663,139.748,-7.898,0.875,0,0.0344,0.124
124,4j6zwZXmowzteSNjeqq1np,Eden Hason,איך את אוהבת,Mobile1 Music,6,196,95,50279,08/06/2023,0.75,0.703,0.537,108.021,-5.105,0.186,0,0.0433,0.152
125,54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,47,109,49,50092,08/06/2023,0.772,0.75,0.587,114.061,-3.67,0.0201,0,0.0455,0.074
126,0HPUcWtR8EHjd120wu2F9m,"Tuna, Dudu Tassa",עומס לב,NaNa Disc,35,105,13,49142,08/06/2023,0.572,0.686,0.437,172.002,-4.916,0.248,0,0.085,0.338
127,0hOEW1DOcq5pQdoSguJklk,Peer Tasi,ערק,Peer Tasi LTD under exclusive license to D-Music,52,100,45,48983,08/06/2023,0.706,0.498,0.282,100.023,-7.525,0.4,0,0.0566,0.324
