rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness
110,7vlw3ezpsoXCBONhNXLOcV,Tuna,גם זה יעבור,Anana,56,111,239,50084,13/07/2023,0.56,0.62,0.411,156.178,-7.778,0.36,0.0001,0.089,0.1
111,0tIQwXFOyQjd6K7w7PIBrn,Akiva,יש בך הכל,2022 Akiva+Or D. BY PIL LTD,72,103,57,50015,13/07/2023,0.561,0.566,0.436,142.87,-8.479,0.609,0.0004,0.0375,0.131
112,04qYVjQ9bRRpJzz5sm7cEk,Hanan Ben Ari,אם תרצי,Hanan Ben Ari / Mor Dahan under exclusive license to D-Music,5,109,176,49974,13/07/2023,0.669,0.593,0.774,131.043,-9.851,0.355,0,0.0361,0.343
113,0hOEW1DOcq5pQdoSguJklk,Peer Tasi,ערק,Peer Tasi LTD under exclusive license to D-Music,52,115,50,49434,13/07/2023,0.706,0.498,0.282,100.023,-7.525,0.4,0,0.0566,0.324
114,5g7sDjBhZ4I3gcFIpkrLuI,Bruno Mars,Locked out of Heaven,Atlantic Records,53,119,8,49157,13/07/2023,0.728,0.697,0.87,143.986,-4.125,0.0556,0,0.0456,0.282
115,7mBGGsJwx4o8NiqWfmAJ96,Ravid Plotnik,כפרה שלי,NaNa Disc,49,116,88,48903,13/07/2023,0.67,0.331,0.853,160.018,-13.178,0.73,0,0.195,0.104
116,7wL2FfAPuP90EqSBALn7qM,"Omer Adam, E-Z",התעוררתי עם נמר,P.A.I LTD,44,107,6,48830,13/07/2023,0.829,0.659,0.439,99.976,-7.904,0.324,0,0.128,0.172
117,1s7oOCT8vauUh01PbJD6ps,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,29,120,44,48735,13/07/2023,0.801,0.806,0.802,106.999,-5.206,0.382,0.0007,0.0381,0.114
118,0x9UM4GuxnMJUjyuipowmo,Akiva,אל תעזבי ידיים,2021 Akiva Turgeman+Or Davidson BY PIL LTD,23,100,177,48629,13/07/2023,0.605,0.455,0.26,88.079,-7.956,0.739,0,0.0472,0.224
119,52Do4VrXDPuXZ1KH2TZcqw,Static,להיט של שיר אחד,Mobile1 Music,16,127,21,48393,13/07/2023,0.657,0.727,0.777,145.016,-5.065,0.189,0,0.0432,0.121
120,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,9,117,191,47973,13/07/2023,0.501,0.405,0.446,109.891,-5.679,0.751,0,0.0319,0.105
121,3veP41hqImUDYUhBbnZG90,Maor Cohen,שיר של יום חולין,NaNa Disc,68,122,57,47879,13/07/2023,0.44,0.711,0.262,76.17,-4.316,0.0038,0,0.031,0.254
122,0SmY5bTuls1ccput6QhHSA,Adir Getz,"אני אוהב, אני מכור, אני שרוף",Unicell,18,85,55,47135,13/07/2023,0.708,0.287,0.461,135.875,-10.791,0.875,0,0.0349,0.115
123,4D5BAc9GN5Q8r5LVO7mxBI,Eden Hason,שוב,Mobile1 Music,31,146,20,47117,13/07/2023,0.559,0.495,0.321,94.948,-8.442,0.84,0,0.038,0.203
124,3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,99,134,59,46982,13/07/2023,0.429,0.661,0.285,173.372,-7.227,0.0024,0.0001,0.0281,0.234
125,561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Eminem Catalog PS,26,131,39,46954,13/07/2023,0.637,0.678,0.254,84.039,-3.798,0.209,0,0.266,0.156
126,2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Counting Stars,Mosley / Interscope,91,137,157,46938,13/07/2023,0.664,0.705,0.477,122.016,-4.972,0.0654,0,0.0382,0.118
127,0odehEKB3SeuY8NIm9kBT4,"Full Trunk, Sivan Talmor",As a Stone,NaNa Disc,35,124,206,46614,13/07/2023,0.645,0.763,0.559,82.448,-4.705,0.355,0.349,0.0351,0.302
128,5Cf7f7XD97PYEUWEEb7mcQ,Hanan Ben Ari,חוץ מכדורגל,Hanan Ben Ari under exclusive license to D-Music,112,118,4,46501,13/07/2023,0.587,0.461,0.336,135.279,-7.077,0.636,0,0.0593,0.381
129,54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,47,136,54,46374,13/07/2023,0.772,0.75,0.587,114.061,-3.67,0.0201,0,0.0455,0.074
130,3hpaRxH73ciJCuH6QcNWXO,Eden Hason,מטפסים על הקירות,Mobile1 Music,6,154,49,46125,13/07/2023,0.776,0.817,0.965,99.993,-6.216,0.228,0,0.0841,0.0616
131,3ez2Vwn4Dd8UmPxviNalrn,"Tuna, Noga Erez, ROUSSO",עומס לב & Views,NaNa Disc,28,153,40,46025,13/07/2023,0.644,0.578,0.516,91.914,-7.036,0.187,0,0.0407,0.108
132,5qaEfEh1AtSdrdrByCP7qR,Imagine Dragons,Demons,Kid Ina Korner / Interscope,92,138,40,45774,13/07/2023,0.5,0.71,0.419,89.929,-3.015,0.19,0.0003,0.0339,0.269
